屋号・商号,屋号・商号フリガナ,業種（大分類）,業種（中分類）,主な取扱品目,地域,郵便番号,住所,電話番号,さるぼぼコイン
ＢＡＲＢＥＲ’Ｓ　ＳＴＯＲＥ　ＭＩＨＡＬ,ﾊﾞｰﾊﾞｰｽﾞｽﾄｱﾐﾊﾙ,理美容・エステ業（マッサージ業）,理容室,理容室,高山,506-0021,名田町2-20,32-3832,利用不可
barber ちょび,ﾊﾞｰﾊﾞｰﾁｮﾋﾞ,理美容・エステ業（マッサージ業）,理容室,理容業,高山,506-0808,松本町425-4,0577-33-4517,利用可能
バーバー　みのゆきお,ﾊﾞｰﾊﾞｰﾐﾉﾕｷｵ,理美容・エステ業（マッサージ業）,理容室,理容業,高山,506-0022,西町69,33-5259,利用不可
Purple Plus,ﾊﾟｰﾌﾟﾙﾌﾟﾗｽ,飲食業,酒場,バー,高山,506-0025,天満町3-60,090-8676-9959,利用不可
バー　ラムダンスホール,ﾊﾞｰﾗﾑﾀﾞﾝｽﾎｰﾙ,飲食業,酒場,酒類,高山,506-0017,朝日町29　杉本ビル1F,36-1682,利用不可
はいから舎,ﾊｲｶﾗﾔ,理美容・エステ業（マッサージ業）,美容室,美容業務,高山,506-0004,桐生町4-191,34-4004,利用不可
㈱ﾊﾞｲｸﾎﾞﾝﾊﾞｰ,ﾊﾞｲｸﾎﾞﾝﾊﾞｰ,自動車販売・修理業,自転車・バイク,二輪車販売・修理・車検,国府,509-4122,国府町名張1122-1,72-3311,利用不可
ハイジパン,ﾊｲｼﾞﾊﾟﾝ,小売業,パン・菓子,パン,高山,506-0842,下二之町77,37-1121,利用可能
喫茶ハイタイム,ﾊｲﾀｲﾑ,飲食業,喫茶店,コーヒー(飲食),荘川,501-5413,荘川町新渕101-1,05769-2-2255,利用不可
Hydrospa,ﾊｲﾄﾞﾛｽﾊﾟ,理美容・エステ業（マッサージ業）,マッサージ,ドライヘッドスパ・もみほぐし,高山,506-0052,下岡本町1120-1LALUCE A,090-9110-9862,利用可能
ハイマウント,ﾊｲﾏｳﾝﾄ,ホテル・旅館業等,レジャー関連施設,クライミング アクティビティ,高山,506-0053,昭和町3-79-6,77-9142,利用可能
パイルドライバー,ﾊﾟｲﾙﾄﾞﾗｲﾊﾞｰ,小売業,スポーツ用品,スポーツ用品等,高山,506-0054,岡本町2-106-1,36-3378,利用可能
ハウジング アイズ,ﾊｳｼﾞﾝｸﾞｱｲｽﾞ,建設業,住宅建築,住宅建築,国府,509-4119,国府町広瀬町616-1,72-0070,利用不可
はぎ手芸店,ﾊｷﾞｼｭｹﾞｲﾃﾝ,小売業,雑貨,手芸用品　生地　毛糸　ミシン,高山,506-0856,大門町79,34-0582,利用可能
はきもの　古川屋,ﾊｷﾓﾉﾌﾙｶﾜﾔ,小売業,衣料品・履物,履物,高山,506-0845,上二之町54,32-2047,利用可能
はきもの　まえ田,ﾊｷﾓﾉﾏｴﾀﾞ,小売業,衣料品・履物,下駄、雪駄,高山,506-0003,本母町491,090-8737-3932,利用可能
はきもの　まえ田,ﾊｷﾓﾉﾏｴﾀﾞ,小売業,衣料品・履物,下駄　雪駄,高山,506-0003,本母町491,090-8737-3932,利用可能
㈲白馬館　,ﾊｸﾊﾞｶﾝ,生活関連業,洗濯業,一般衣類･大物　ｸﾘｰﾆﾝｸﾞ,高山,506-0055,上岡本町3-473,57-8887,利用可能
㈲白馬館　コア21モール店,ﾊｸﾊﾞｶﾝｺｱﾆｼﾞｭｳｲﾁﾓｰﾙﾃﾝ,生活関連業,洗濯業,一般衣類･大物　ｸﾘｰﾆﾝｸﾞ,高山,506-0053,昭和町2-73-2,35-3205,利用可能
㈲白馬館　東山店,ﾊｸﾊﾞｶﾝﾋｶﾞｼﾔﾏﾃﾝ,生活関連業,洗濯業,一般衣類･大物　ｸﾘｰﾆﾝｸﾞ,高山,506-0802,松之木町283-1,33-0062,利用可能
㈲白馬館　フレスポ店,ﾊｸﾊﾞｶﾝﾌﾚｽﾎﾟﾃﾝ,生活関連業,洗濯業,一般衣類･大物　ｸﾘｰﾆﾝｸﾞ,高山,506-0025,天満町1-5-8,35-7575,利用可能
㈲白馬館　ラクール飛騨高山店,ﾊｸﾊﾞｶﾝﾗｸｰﾙﾋﾀﾞﾀｶﾔﾏﾃﾝ,生活関連業,洗濯業,一般衣類･大物　ｸﾘｰﾆﾝｸﾞ,国府,509-4123,国府町金桶72,72-5603,利用可能
はし善,ﾊｼｾﾞﾝ,飲食業,食堂,和食,高山,506-0012,八軒町1-93,32-3821,利用不可
㈲橋場農園,ﾊｼﾊﾞﾉｳｴﾝ,その他の業種,その他,シイタケ・トマトジュース他,丹生川,506-2124,丹生川町新張2952-79,0577-78-1161,利用不可
はじめ焼き菓子店,ﾊｼﾞﾒﾔｷｶﾞｼﾃﾝ,小売業,パン・菓子,菓子,高山,506-0035,新宮町1165-2,57-5725,利用可能
橋本古美術店,ﾊｼﾓﾄｺﾋﾞｼﾞｭﾂﾃﾝ,小売業,その他小売り,書画・骨董・古物,高山,506-0823,森下町2-149,090-1984-3815,利用可能
畑中堂,ﾊﾀﾅｶﾄﾞｳ,小売業,パン・菓子,和菓子,高山,506-0856,大門町85,32-0169,利用可能
畑中土産品店,ﾊﾀﾅｶﾐﾔｹﾞﾋﾝﾃﾝ,小売業,その他小売り,土産品販売,高山,506-0026,花里町5-13,32-0398,利用不可
hataya,ﾊﾀﾔ,建設業,設備,一般電気工事・薪ストーブ,国府,509-4119,国府町広瀬町171-11,090-8321-1363,利用不可
㈲八賀設備,ﾊﾁｶﾞｾﾂﾋﾞ,建設業,設備,ボイラー・上下水道設備,国府,509-4104,国府町今353,72-2939,利用不可
cafe＆bar BACCHUS,ﾊﾞｯｶｽ,飲食業,酒場,飲食,高山,506-0014,相生町56-2,70-8525,利用不可
パッケージプラザ　パックパックス高山店,ﾊﾟｯｹｰｼﾞﾌﾟﾗｻﾞﾊﾟｯｸﾊﾟｯｸｽﾀｶﾔﾏﾃﾝ,小売業,その他小売り,包装資材・家庭用品他,高山,506-0004,桐生町8-535,36-1700,利用可能
八光苑,ﾊｯｺｳｴﾝ,飲食業,日本料理店,日本料理,国府,509-4121,国府町宇津江3236-16,72-3065,利用可能
Ｐａｓｓｉｏｎ,ﾊﾟｯｼｮﾝ,飲食業,酒場,アルコール類,高山,506-0017,朝日町11-3,33-7224,利用不可
発達遊育教室はぴるん,ﾊｯﾀﾂﾕｳｲｸｷｮｳｼﾂﾊﾋﾟﾙﾝ,生活関連業,教育・学習,乳幼児教室,高山,506-0808,松本町2050-4,090-4858-6055,利用不可
ハッピープラス㈱,ﾊｯﾋﾟｰﾌﾟﾗｽ,バス・タクシー運行業,旅行業,ツアー・プログラミング・肉・米,高山,506-0845,上二之町22,70-8528,利用可能
はつみ美容室,ﾊﾂﾐﾋﾞﾖｳｼﾂ,理美容・エステ業（マッサージ業）,美容室,美容業,高山,506-0041,下切町887,33-6365,利用可能
㈲Buddy,ﾊﾞﾃﾞｨ,自動車販売・修理業,自動車,自動車・板金・修理,高山,506-0055,上岡本町7-435,37-5360,利用可能
Ｐａｔｉｓｓｅｒｉｅ　ｏｎｖｅ*,ﾊﾟﾃｨｽﾘｰｵﾝｳﾞ,小売業,パン・菓子,ケーキ・焼き菓子,清見,506-0102,清見町三日町1688,090-5177-4596,利用可能
鳩自動車修理工場,ﾊﾄｼﾞﾄﾞｳｼｬｼｭｳﾘｺｳｼﾞｮｳ,自動車販売・修理業,自動車,車検･一般整備,高山,506-0035,新宮町830-18,33-0810,利用不可
鳩タクシー㈱,ﾊﾄﾀｸｼｰ,バス・タクシー運行業,タクシー・代行,タクシー･介護タクシー,高山,506-0021,名田町5-95-16,32-0246,利用可能
花扇別邸 いいやま,ﾊﾅｵｳｷﾞﾍﾞｯﾃｲｲｲﾔﾏ,ホテル・旅館業等,旅館,旅館,高山,506-0003,本母町262-2,37-1616,利用可能
パナサービス川﨑,ﾊﾟﾅｻｰﾋﾞｽｶﾜｻｷ,小売業,家電,家電・修理,高山,506-0004,桐生町3-233,36-0087,利用不可
パナスペース　アスク,ﾊﾟﾅｽﾍﾟｰｽｱｽｸ,小売業,家電,家電・パソコン・オール電化,国府,509-4119,国府町広瀬町917,72-3939,利用可能
花生,ﾊﾅｾ,小売業,その他小売り,生花,高山,506-0055,上岡本町7-203,32-2125,利用可能
banana moon,ﾊﾞﾅﾅﾑｰﾝ,理美容・エステ業（マッサージ業）,美容室,美容室,高山,506-0804,長坂町37,36-0151,利用不可
花のクリモト 岡本店,ﾊﾅﾉｸﾘﾓﾄｵｶﾓﾄﾃﾝ,小売業,その他小売り,生花・鉢物,高山,506-0054,岡本町2-8-1,32-1355,利用可能
花のクリモト 花川店,ﾊﾅﾉｸﾘﾓﾄﾊﾅｶﾜﾃﾝ,小売業,その他小売り,生花・鉢物,高山,506-0015,花川町33,35-3348,利用可能
花ひろば,ﾊﾅﾋﾛﾊﾞ,小売業,その他小売り,花苗、植木、園芸用土,高山,506-0047,八日町111-1,0577-32-1930,利用不可
華ぶらいだる,ﾊﾅﾌﾞﾗｲﾀﾞﾙ,生活関連業,物品貸し出しサービス,貸衣装,高山,506-0054,岡本町2-18,35-2287,利用不可
花庖丁大下,ﾊﾅﾎｳﾁｮｳｵｵｼﾀ,飲食業,日本料理店,会席料理,高山,506-0012,八軒町2-22,62-9985,利用可能
㈲花屋のながぜん,ﾊﾅﾔﾉﾅｶﾞｾﾝ,小売業,その他小売り,生花,高山,506-0843,下一之町31,32-1299,利用可能
ハナヤベーカリー,ﾊﾅﾔﾍﾞｰｶﾘｰ,小売業,パン・菓子,パン・菓子,高山,506-0003,本母町341-5,33-6763,利用可能
ｐａｎｏｖｅ,ﾊﾟﾇｰｳﾞ,小売業,パン・菓子,パン・サンドイッチ,高山,506-0054,岡本町2-140-4,77-9450,利用可能
㈱馬場農機商会,ﾊﾞﾊﾞﾉｳｷｼｮｳｶｲ,自動車販売・修理業,農業機械,農業機械,高山,506-0842,下二之町62,32-0907,利用不可
PUB　JUNK'S,ﾊﾟﾌﾞｼﾞｬﾝｸｽ,飲食業,酒場,酒,高山,506-0017,朝日町50,35-0506,利用不可
PUB BOLS,ﾊﾟﾌﾞﾎﾞﾙｽ,飲食業,酒場,飲食代,高山,506-0016,末広町72-1末広ビル1階,0577-35-1762,利用可能
㈲ハムショップヒダ電子,ﾊﾑｼｮｯﾌﾟﾋﾀﾞﾃﾞﾝｼ,小売業,その他小売り,無線機販売,高山,506-0052,下岡本町2558-24,32-5665,利用不可
刃物専門店　是ノ刃,ﾊﾓﾉｾﾝﾓﾝﾃﾝｺﾉﾊ,小売業,その他小売り,包丁他刃物類,高山,506-0841,下三之町115,70-8377,利用可能
㈲はや志酒店,ﾊﾔｼｻｹﾃﾝ,小売業,酒屋,酒類,高山,506-0844,上一之町110,32-4359,利用不可
ハラサイクル,ﾊﾗｻｲｸﾙ,自動車販売・修理業,自転車・バイク,自転車販売・修理,高山,506-0016,末広町61（国分寺通り）,32-1657,利用可能
㈲原田酒造場,ﾊﾗﾀﾞｼｭｿﾞｳｼﾞｮｳ,小売業,酒屋,日本酒,高山,506-0846,上三之町10,32-0120,利用可能
原田商店,ﾊﾗﾀﾞｼｮｳﾃﾝ,小売業,酒屋,酒・飲料水,奥飛騨温泉郷,506-1432,奥飛騨温泉郷一重ケ根837-1,0578-89-2514,利用不可
原田美容室,ﾊﾗﾀﾞﾋﾞﾖｳｼﾂ,理美容・エステ業（マッサージ業）,美容室,美容,高山,506-0011,本町4-35,34-0685,利用不可
はり・きゅう　セラビ治療院,ﾊﾘｷｭｳｾﾗﾋﾞﾁﾘｮｳｲﾝ,理美容・エステ業（マッサージ業）,鍼・灸,鍼灸治療,高山,506-0052,下岡本町1217-7,34-5470,利用可能
はりきゅうマッサージこころ,ﾊﾘｷｭｳﾏｯｻｰｼﾞｺｺﾛ,理美容・エステ業（マッサージ業）,マッサージ,鍼灸マッサージ,国府,509-4115,国府町三日町211-2,72-3301,利用不可
はるおさん家（ち）のお好み焼き,ﾊﾙｵｻﾝﾁﾉｵｺﾉﾐﾔｷ,飲食業,酒場,お好み焼き・焼きそば・酒類,高山,506-0838,馬場町2-95,090-7862-1317,利用不可
BarFiore,ﾊﾞﾙﾌｨｵｰﾚ,飲食業,レストラン,レストラン（イタリアン）,高山,506-0008,初田町3-88-5,34-3282,利用可能
はんちくていルビットタウン高山店,ﾊﾝﾁｸﾃｲﾙﾋﾞｯﾄﾀｳﾝﾀｶﾔﾏﾃﾝ,飲食業,その他飲食店,クレープ・ソフトクリーム,高山,506-0054,岡本町3-18-2  1階,32-8880,利用可能
Handmade　Craft　Shop　SWING,ﾊﾝﾄﾞﾒｲﾄﾞｸﾗﾌﾄｼｮｯﾌﾟｽｳｨﾝｸﾞ,小売業,家具,木の小物・カトラリー・家具,高山,506-0845,上二之町51,57-7878,利用不可
handmadeshop One's,ﾊﾝﾄﾞﾒｲﾄﾞｼｮｯﾌﾟﾜﾝｽﾞ,小売業,雑貨,アクセサリー、雑貨,高山,506-0025,天満町2-84-16,090-4236-3460,利用可能
パンと焼き菓子ゆう,ﾊﾟﾝﾄﾔｷｶﾞｼﾕｳ,小売業,パン・菓子,天然酵母パン・米粉スイーツ,上宝,506-1317,上宝町本郷669-3,080-7165-1852,利用不可
パンのブレーメン,ﾊﾟﾝﾉﾌﾞﾚｰﾒﾝ,小売業,パン・菓子,パン類,高山,506-0012,八軒町1-34,32-3794,利用不可
ばんばシート㈱,ﾊﾞﾝﾊﾞｼｰﾄ,その他の業種,その他,シート全般,高山,506-0052,下岡本町2963,32-3245,利用可能
バンビ理髪店,ﾊﾞﾝﾋﾞﾘﾊﾂﾃﾝ,理美容・エステ業（マッサージ業）,理容室,理容一般,高山,506-0021,名田町2-74-32,34-0660,利用不可
Viejoie,ﾋﾞ･ｼﾞｮｱ,理美容・エステ業（マッサージ業）,エステ,エステ･化粧品販売,高山,506-0802,松之木町2536-5,090-5613-2775,利用可能
Ｂ-ＢＥＡＮ,ﾋﾞｨ･ﾋﾞｰﾝ,理美容・エステ業（マッサージ業）,美容室,美容技術の施術と美容商材の販売,高山,506-0013,有楽町45　シングセカンド２F,32-9575,利用可能
BMPE,ﾋﾞｰｴﾑﾋﾟｰｲｰ,理美容・エステ業（マッサージ業）,美容室,カット・カラー・アイラッシュ,高山,506-0003,本母町117-15,62-8127,利用可能
PCサポート,ﾋﾟｰｼｰｻﾎﾟｰﾄ,小売業,家電,パソコン販売・サポート,高山,506-0001,冬頭町534 マンション京A-1-4,70-8879,利用不可
ピースランド,ﾋﾟｰｽﾗﾝﾄﾞ,小売業,その他小売り,書籍,高山,506-0855,愛宕町8,34-5356,利用不可
beeDanceStudio,ﾋﾞｰﾀﾞﾝｽｽﾀｼﾞｵ,生活関連業,エアロビクス・ダンス教室,レッスン受講料,国府,509-4123,国府町金桶41スーパーセンターシマヤ　ラクール飛騨高山店内　2階,0577-33-5667,利用不可
bee ｄance Studio,ﾋﾞｰﾀﾞﾝｽｽﾀｼﾞｵ,生活関連業,エアロビクス・ダンス教室,レッスン受講料,高山,506-0055,上岡本町7-500-1　JOYビル　2F,33-5667,利用不可
ピープル理容,ﾋﾟｰﾌﾟﾙﾘﾖｳ,理美容・エステ業（マッサージ業）,理容室,カット、女性お顔そり他,国府,509-4119,国府町広瀬町644-1,72-3551,利用不可
HIIRA'S　TREAT,ﾋｲﾗｽﾞﾄﾘｰﾄ,理美容・エステ業（マッサージ業）,エステ,エステティック,高山,506-0003,本母町432-1,35-2306,利用可能
ピエドプール（かいが）,ﾋﾟｴﾄﾞﾌﾟｰﾙ（ｶｲｶﾞ）,小売業,衣料品・履物,衣類・雑貨,高山,506-0005,七日町1-48,37-1212,利用可能
東組,ﾋｶﾞｼｸﾞﾐ,建設業,住宅建築,リフォーム・手すり取付けなど,高山,506-0052,下岡本町1091-1,32-1255,利用不可
東酒店,ﾋｶﾞｼｻｹﾃﾝ,小売業,酒屋,酒,高山,506-0011,本町3丁目44番地,32-0853,利用可能
東田時計店,ﾋｶﾞｼﾀﾞﾄｹｲﾃﾝ,小売業,宝飾品・眼鏡,ジュエリー･鞄･美容健康商品,高山,506-0011,本町1-23,32-1821,利用可能
光ミュージアム,ﾋｶﾙﾐｭｰｼﾞｱﾑ,生活関連業,教育・学習,美術館・博物館,高山,506-0051,中山町175,34-6511,利用不可
美顔教室まどか,ﾋﾞｶﾞﾝｷｮｳｼﾂﾏﾄﾞｶ,小売業,その他小売り,化粧品･クロロフィル化粧料,高山,506-0032,千島町400,34-5775,利用可能
樋口果樹園,ﾋｸﾞﾁｶｼﾞｭｴﾝ,小売業,食料品,りんご・桃・りんごジュース,高山,506-0818,江名子町2242-1,32-3386,利用可能
彦谷の里　キャンプ場,ﾋｺﾀﾞﾆﾉｻﾄｷｬﾝﾌﾟｼﾞｮｳ,ホテル・旅館業等,レジャー関連施設,キャンプ場,清見,506-0205,清見町夏厩687-3,67-3039,利用可能
久田屋,ﾋｻﾀﾞﾔ,飲食業,日本料理店,ほうばみそ・飛騨牛料理・そば,高山,506-0846,上三之町12,32-0216,利用可能
土方肉蔵,ﾋｼﾞｶﾀﾆｸｿﾞｳ,飲食業,酒場,飛騨牛,高山,506-0017,朝日町23,34-2990,利用可能
美女高原,ﾋﾞｼﾞｮｺｳｹﾞﾝ,ホテル・旅館業等,レジャー関連施設,食堂、キャンプ、釣り、ボート,朝日,509-3306,朝日町見座1362-2,55-3820,利用不可
ビストロ・ボンヌ,ﾋﾞｽﾄﾛ･ﾎﾞﾝﾇ,飲食業,レストラン,ドリンク・フード,高山,506-0017,朝日町23,34-6766,利用不可
ビストロ ミュー,ﾋﾞｽﾄﾛﾐｭｰ,飲食業,専門料理店,フランス料理,高山,506-0007,総和町1-55-3,36-0149,利用不可
そば　うどん　飛騨,ﾋﾀﾞ,飲食業,麺類店,そば･うどん,高山,506-0026,花里町5-22,32-1820,利用可能
飛騨・高山観光コンベンション協会,ﾋﾀﾞ･ﾀｶﾔﾏｶﾝｺｳｺﾝﾍﾞﾝｼｮﾝｷｮｳｶｲ,その他の業種,その他,のん兵衛まつり御酒飲帳セット,高山,506-0011,本町1-2,36-1011,利用不可
飛騨・匠＆クラフトギャラリー,ﾋﾀﾞ･ﾀｸﾐｱﾝﾄﾞｸﾗﾌﾄｷﾞｬﾗﾘｰ,小売業,その他小売り,飛騨の工芸品･ｸﾗﾌﾄ作品,高山,506-0025,天満町5-1-25,35-0370,利用不可
飛騨あっぽ,ﾋﾀﾞｱｯﾎﾟ,飲食業,麺類店,ラーメン,高山,506-0846,上三之町52,32-1616,利用不可
飛騨印刷㈱,ﾋﾀﾞｲﾝｻﾂ,その他の業種,その他,印刷物,高山,506-0031,西之一色町3-647-28,32-1191,利用不可
㈲飛騨液化ガス,ﾋﾀﾞｴｷｶｶﾞｽ,建設業,管工事,ガス器具,一之宮,509-3505,一之宮町1852,53-3066,利用不可
飛騨大井屋,ﾋﾀﾞｵｵｲﾔ,小売業,パン・菓子,和菓子・カフェ,高山,506-0846,上三之町68,32-2143,利用可能
HIDA　Calf　LBco．,ﾋﾀﾞｶｰﾌﾚｻﾞｰﾍﾞﾙｶﾝﾊﾟﾆｰ,小売業,雑貨,飛騨牛革製品　ランドセル　小物,高山,506-0054,岡本町4-403-4,32-5788,利用可能
飛騨季節料理　肴,ﾋﾀﾞｷｾﾂﾘｮｳﾘｻｶﾅ,飲食業,日本料理店,日本料理店,高山,506-0033,越後町1126-1,36-1288,利用可能
飛騨牛家 兆治,ﾋﾀﾞｷﾞｭｳｹﾁｮｳｼﾞ,飲食業,酒場,牛串・コロッケ,高山,506-0845,上二之町46,080-5102-0369,利用可能
飛騨牛食べ処　牛政,ﾋﾀﾞｷﾞｭｳﾀﾍﾞﾄﾞｺﾛｷﾞｭｳﾏｻ,飲食業,専門料理店,飛騨牛,高山,506-0004,桐生町4-377-1,34-9052,利用可能
飛騨牛のこもり,ﾋﾀﾞｷﾞｭｳﾉｺﾓﾘ,小売業,食料品,食肉販売,高山,506-0817,山口町722-1,57-8866,利用可能
飛騨牛本格焼肉　七凛,ﾋﾀﾞｷﾞｭｳﾎﾝｶｸﾔｷﾆｸｼﾁﾘﾝ,飲食業,焼肉店,牛肉,高山,506-0052,下岡本町1680-1,36-5776,利用不可
飛騨餃子　あてや,ﾋﾀﾞｷﾞｮｳｻﾞｱﾃﾔ,飲食業,酒場,居酒屋,高山,506-0017,朝日町9-3,33-6651,利用可能
㈱斐太建装,ﾋﾀﾞｹﾝｿｳ,建設業,住宅建築,網戸･内窓･ガラス･鍵の交換他,高山,506-0052,下岡本町1156-1,32-1398,利用不可
飛騨高原ハム,ﾋﾀﾞｺｳｹﾞﾝﾊﾑ,小売業,食料品,手造りハム・ソーセージ･乳製品,国府,509-4117,国府町三川1654,72-2484,利用可能
飛騨国府特選館あじか,ﾋﾀﾞｺｸﾌﾄｸｾﾝｶﾝｱｼﾞｶ,小売業,食料品,野菜・果物・花,国府,509-4123,国府町金桶64-1,72-0150,利用可能
飛騨コルト㈱,ﾋﾀﾞｺﾙﾄ,自動車販売・修理業,自動車,自動車,高山,506-0004,桐生町6-93,32-1790,利用可能
ヒダコレ家具,ﾋﾀﾞｺﾚｶｸﾞ,小売業,家具,家具　テーブル　インテリア商品,高山,506-0055,上岡本町3-362,57-7555,利用可能
飛騨さしこ,ﾋﾀﾞｻｼｺ,小売業,その他小売り,刺し子製品全般,高山,506-0847,片原町60,34-5345,利用可能
飛騨産業　HIDA高山店,ﾋﾀﾞｻﾝｷﾞｮｳﾋﾀﾞﾀｶﾔﾏﾃﾝ,小売業,家具,家具及び木製小物,高山,506-0021,名田町1-82-1,36-1110,利用可能
